fiscal_year,base_value,cost_growth_ratio,schedule_slip_days,planned_duration_days,number_of_offers,n_transactions,military_branch,naics_code,psc_code,contract_type,extent_competed,place_state
2013,186000.0,-1.0,1461.0,364.0,2.0,2,NAVSUP,811412.0,Z1FD,FIRM FIXED PRICE,COMPETED UNDER SAP,VA
2013,47000.0,-1.372340425531915,321.0,15.0,4.0,3,NAVSUP,238330.0,Z2PZ,FIRM FIXED PRICE,COMPETED UNDER SAP,MD
2013,3900.0,0.0,0.0,370.0,2.0,1,NAVSUP,811310.0,Z2NZ,FIRM FIXED PRICE,COMPETED UNDER SAP,ME
2014,16601.08,-1.0,280.0,30.0,1.0,2,NAVSUP,337214.0,Z2PB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,VA
2014,110356.73,0.0,1461.0,364.0,3.0,1,NAVSUP,811213.0,Z1AB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,VA
2014,13400.0,-1.0,43.0,21.0,2.0,2,NAVSUP,562910.0,Z1EA,FIRM FIXED PRICE,COMPETED UNDER SAP,VA
2014,4581.75,0.0,0.0,5.0,1.0,1,NAVSUP,238220.0,Z2PD,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,VA
2014,2309.09,0.0,0.0,56.0,1.0,1,NAVSUP,333999.0,Z1JZ,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,VA
2014,249244.32,-1.0,1461.0,364.0,2.0,9,NAVSUP,811310.0,Z1FD,FIRM FIXED PRICE,COMPETED UNDER SAP,CT
2015,10171.0,-1.0,64.0,33.0,2.0,2,NAVSUP,541430.0,Z2PB,FIRM FIXED PRICE,COMPETED UNDER SAP,MD
2015,832212.2,-1.0,28.0,92.0,1.0,2,NAVSUP,517919.0,Z1BG,FIRM FIXED PRICE,NOT COMPETED UNDER SAP,VA
2015,42229.64,-1.0,380.0,15.0,1.0,2,NAVSUP,713990.0,Z1PA,FIRM FIXED PRICE,COMPETED UNDER SAP,IL
2015,3400.0,-1.0,0.0,6.0,2.0,2,NAVSUP,562910.0,Z1GC,FIRM FIXED PRICE,COMPETED UNDER SAP,VA
2015,4200.0,-2.0,0.0,2.0,1.0,2,NAVSUP,562910.0,Z1GC,FIRM FIXED PRICE,COMPETED UNDER SAP,TX
2016,14910.0,0.0,338.0,30.0,1.0,1,NAVSUP,541320.0,Z1FF,FIRM FIXED PRICE,COMPETED UNDER SAP,VA
2016,2764.0,0.0,0.0,16.0,3.0,1,NAVSUP,238320.0,Z1AZ,FIRM FIXED PRICE,COMPETED UNDER SAP,VA
2017,7234.11,-0.8570549798109235,0.0,38.0,2.0,2,NAVSUP,531120.0,Z1AB,FIRM FIXED PRICE,COMPETED UNDER SAP,VA
2017,16401.0,0.0,0.0,364.0,1.0,1,NAVSUP,541320.0,Z1EB,FIRM FIXED PRICE,COMPETED UNDER SAP,VA
2017,12660.9,-1.0,31.0,59.0,1.0,2,NAVSUP,541990.0,Z1AA,FIRM FIXED PRICE,NOT COMPETED UNDER SAP,GA
2018,12860.0,-1.0,31.0,98.0,2.0,3,NAVSUP,561210.0,Z1PZ,FIRM FIXED PRICE,COMPETED UNDER SAP,VA
2018,82005.0,-1.0,1277.0,364.0,2.0,2,NAVSUP,238160.0,Z1EB,FIRM FIXED PRICE,COMPETED UNDER SAP,VA
2018,29751.0,0.0,0.0,11.0,6.0,1,NAVSUP,238330.0,Z1EB,FIRM FIXED PRICE,COMPETED UNDER SAP,VA
2018,11740.0,0.0,0.0,30.0,6.0,1,NAVSUP,238330.0,Z1EB,FIRM FIXED PRICE,COMPETED UNDER SAP,VA
2018,20518.0,0.0,0.0,106.0,6.0,1,NAVSUP,238330.0,Z1EB,FIRM FIXED PRICE,COMPETED UNDER SAP,VA
2018,36599.84,-1.0,45.0,10.0,6.0,2,NAVSUP,238330.0,Z1EB,FIRM FIXED PRICE,COMPETED UNDER SAP,VA
2018,69000.0,-0.5988115942028985,0.0,161.0,1.0,2,NAVSUP,712110.0,Z1JA,FIRM FIXED PRICE,COMPETED UNDER SAP,VA
